Heure Debut;Heure Fin;Salle;Nom du cours;Intervenant;Valeur brute champ,Libellé.Service
08:15:00;10:15:00;131;ISM 2: Data analysis & Business intelligence;FORGET Thierry;Audencia Bachelor
10:30:00;12:30:00;131;ISM 2: Data analysis & Business intelligence;FORGET Thierry;Audencia Bachelor
14:00:00;16:00:00;131;Industrial BI;FORGET Thierry;Audencia Bachelor / Communication / SCOM Bachelor / Sciences Com
16:15:00;18:15:00;131;Industrial BI;FORGET Thierry;Audencia Bachelor / Communication / SCOM Bachelor / Sciences Com
08:15:00;10:15:00;135;Comptabilité Financière;MOINARD CHRISTIAN;Grande Ecole 1A
10:30:00;12:30:00;135;Financial Markets;RONCHETTI Diego;Grande Ecole 1A
14:00:00;16:00:00;135;Enjeux Économiques du Monde Contemporain : L’Économie en Transition;BROWN Adrian;Grande Ecole 1A
08:15:00;10:15:00;137;Strategic management;SU Peiran;Grande Ecole 2A
10:30:00;12:30:00;137;Strategic management;SU Peiran;Grande Ecole 2A
18:15:00;20:15:00;137;Soutien Allemand;WORCH Lisann;Grande Ecole 2A
10:30:00;12:30:00;139;Espagnol;BONANSCO-DANIEL Francesca;Grande Ecole 2A
14:00:00;16:00:00;139;Marchés financiers;MAURICE STEPHANIE;Grande Ecole 1A
08:15:00;10:15:00;143;Advanced English Programme;DUBOURG Claire;Grande Ecole 1A
10:30:00;12:30:00;143;Standard English Programme ;BRIEND Tersi;Grande Ecole 1A
16:15:00;18:15:00;143;Foundational English Programme ;DENIS Christina;Grande Ecole 1A
08:15:00;10:15:00;145;Standard English Programme ;BRIEND Tersi;Grande Ecole 1A
10:30:00;12:30:00;145;Foundational English Programme ;COCAUD Sophie;Grande Ecole 1A
14:00:00;16:00:00;145;Foundational English Programme ;COCAUD Sophie;Grande Ecole 1A
16:15:00;18:15:00;145;Foundational English Programme ;DUBOURG Claire;Grande Ecole 1A
10:30:00;12:30:00;147;Industry 4.0, circular economy & sustainability;SAUNIER Matthieu;DRED-FC / Grande Ecole / Grande Ecole 1A / Grande Ecole 2A / Grande Ecole 3A
14:00:00;16:00:00;147;Analyse financière;DUPERRAY Estelle;Grande Ecole 2A
08:15:00;10:15:00;231;Corporate Issuers;REES Michael;Grande Ecole 3A
10:30:00;12:30:00;231;Equity Investments;REES Michael;Grande Ecole 3A
